COD_CANONICO,NOME_OFICIAL,FAMILIA,GRANULARIDADE,EVENTO,COMPETENCIA_REFERENCIA,FONTE_MESTRE,CRITICIDADE_SUGERIDA,CONTRATOS_QUE_EXIGEM,NOMENCLATURAS_ATUAIS (aliases),FUNDAMENTO (preencher)
OPE.RELATORIO_MEDICAO,Relatório técnico de medição / atividades,Operação e medição,Contrato,Mensal,Mês da competência,Operação,Bloqueante,"BNB, DOCAS, SESCOOP, TERRACAP, TJ CE",RELATORIO_DE_ATIVIDADES ; RELATORIO_DE_FATURAMENTO ; RELATÓRIO_DE_ATIVIDADES_DESENVOLVIDAS_POR _CADA_UM_DOS_POSTOS_DE_TRABALHO ; RELATÓRIO_DE_FATURAMENTO ; RTA_RELATORIO_TECNICO_ATIVIDADES_DE_FATURAMENTO,
OPE.PLANILHA_MEDICAO,Planilha de faturamento (memória de cálculo),Operação e medição,Contrato,Mensal,Mês da competência,Operação,Bloqueante,"TERRACAP, TJ CE, Telebrás",PLANILHA_DE_FATURAMENTO,
OPE.AUTORIZACAO_FATURAMENTO,Autorização formal de faturamento,Operação e medição,Contrato,Mensal,Mês da competência,Operação,Bloqueante,"BNB, DOCAS, TERRACAP, TJ CE, Telebrás",AUTORIZAÇÃO_DE_FATURAMENTO ; E-MAIL_AUTORIZACAO_EMISSAO_NF ; E-MAIL_AUTORIZAÇÃO_EMISSÃO_NF,
OPE.ATESTE_RECEBIMENTO,Ateste / Termo de recebimento do cliente,Operação e medição,Contrato,Mensal,Mês da competência,Cliente,Bloqueante,"SEFAZ RS, SESCOOP",TERMO_DE_RECEBIMENTO ; TRD,
OPE.EMPENHO,Nota de empenho vigente,Operação e medição,Contrato,Mensal,Mês da competência,Cliente,Bloqueante,CEF,EMPENHO,
OPE.RELACAO_ALOCADOS,Relação de empregados alocados no contrato,Operação e medição,Contrato,Mensal,Mês da competência,Operação,Bloqueante,CEF,RELAÇÃO_DOS_EMPREGADOS_ALOCADOS_NO_CONTRATO_PARA_PRESTAÇÃO_DE_SERVIÇOS,
OPE.DOC_TECNICA,Documentação técnica dos sistemas desenvolvidos,Operação e medição,Contrato,Mensal,Mês da competência,Operação,Não bloqueante,"DOCAS, SEFAZ RS",DOCUMENTAÇÃO_TÉCNICA_DOS_SISTEMAS_DESENVOLVIDOS,
OPE.FOLHA_PONTO,Folha de ponto / ponto eletrônico,Operação e medição,Profissional,Mensal,Mês da competência,DP,Bloqueante,DOCAS,FOLHAS_DE_PONTO,
OPE.MOVIMENTACAO_PESSOAL,Movimentação de pessoal do contrato,Operação e medição,Contrato,Eventual,Mês da competência,DP,Não bloqueante,TJ CE,MOVIMENTACAO_DE_PESSOAL,
FIS.NOTA_FISCAL,Nota fiscal de serviço,Fiscal,Contrato,Mensal,Mês da competência,Financeiro,Bloqueante,"BNB, CEF, DOCAS, SEFAZ RS, SESCOOP, TERRACAP, TJ CE, Telebrás",NOTA _FISCAL ; NOTA_FISCAL,
FIS.NF_XML,XML da nota fiscal,Fiscal,Contrato,Mensal,Mês da competência,Financeiro,Bloqueante,Telebrás,XML,
FIS.CARTA_ENTREGA_NF,Carta de entrega da nota fiscal,Fiscal,Contrato,Mensal,Mês da competência,Financeiro,Bloqueante,"BNB, CEF, DOCAS, SEFAZ RS, SESCOOP, TERRACAP, TJ CE, Telebrás",CARTA_NOTA_FISCAL,
CER.CND_RFB,CND Receita Federal / Dívida Ativa da União,Certidões e regularidade,Contrato,Mensal,Válida na data do faturamento,Financeiro,Bloqueante,"BNB, CEF, DOCAS, SEFAZ RS, TERRACAP, TJ CE, Telebrás",CND_RFB,
CER.CRF_FGTS,Certificado de Regularidade do FGTS (CRF),Certidões e regularidade,Contrato,Mensal,Válida na data do faturamento,Financeiro,Bloqueante,"BNB, CEF, DOCAS, SEFAZ RS, TERRACAP, TJ CE, Telebrás",CRF_FGTS,
CER.CNDT,Certidão Negativa de Débitos Trabalhistas (CNDT),Certidões e regularidade,Contrato,Mensal,Válida na data do faturamento,Financeiro,Bloqueante,"BNB, CEF, DOCAS, SEFAZ RS, TERRACAP, TJ CE, Telebrás",CNDT,
CER.SICAF,Consulta SICAF,Certidões e regularidade,Contrato,Mensal,Válida na data do faturamento,Financeiro,Bloqueante,"BNB, DOCAS, SEFAZ RS, TERRACAP, TJ CE, Telebrás",SICAF,
CER.CND_ESTADUAL,Certidão de regularidade fiscal estadual/distrital,Certidões e regularidade,Contrato,Mensal,Válida na data do faturamento,Financeiro,Bloqueante,"BNB, CEF, DOCAS, SEFAZ RS, TERRACAP, TJ CE, Telebrás",CND_GDF,
CER.CND_CIVEL_CRIMINAL,Certidão negativa de distribuição cível e criminal,Certidões e regularidade,Contrato,Mensal,Válida na data do faturamento,Financeiro,Bloqueante,"BNB, DOCAS, SEFAZ RS, TERRACAP, TJ CE, Telebrás",CND_CIVEL_E_CRIMINAL ; CND_CÍVEL_E_CRIMINAL,
CER.CND_FALENCIA,Certidão negativa de falência e recuperação judicial,Certidões e regularidade,Contrato,Mensal,Válida na data do faturamento,Financeiro,Bloqueante,"BNB, DOCAS, SEFAZ RS, TERRACAP, TJ CE, Telebrás",CND FALENCIA E RECUP JUD ; CND_FALENCIA_E_RECUP_JUD,
FOL.FOPAG,Folha de pagamento analítica,Folha,Contrato,Mensal,Mês da competência,DP,Bloqueante,"BNB, CEF, DOCAS, SESCOOP, TJ CE",FOPAG,
FOL.COMPROVANTE_PG,Comprovante de pagamento da folha,Folha,Contrato,Mensal,Mês da competência,Financeiro,Bloqueante,"BNB, CEF, DOCAS, SESCOOP, TJ CE",COMPROVANTE_PG_FOLHA,
FOL.CONTRACHEQUE,Contracheque / recibo de pagamento,Folha,Profissional,Mensal,Mês da competência,DP,Bloqueante,"BNB, DOCAS, SESCOOP, TJ CE",CONTRACHEQUES,
DEC.FOPAG_13,Folha de pagamento do 13º salário,13º salário,Contrato,13º,Mês da competência,DP,Bloqueante,"CEF, TJ CE",FOPAGO_13º SALÁRIO ; FOPAG_13º,
DEC.COMPROVANTE_PG_13,Comprovante de pagamento do 13º salário,13º salário,Contrato,13º,Mês da competência,Financeiro,Bloqueante,TJ CE,COMPROVANTE_PG_13º SALARIO,
FGT.GUIA,Guia FGTS Digital,FGTS,Contrato,Mensal,Competência anterior (M-1),DP,Bloqueante,"BNB, CEF, DOCAS, SESCOOP, TJ CE",GFD-GUIA_DO_FGTS ; GFD_GUIA_DO_FGTS,
FGT.COMPROVANTE_PG,Comprovante de pagamento do FGTS,FGTS,Contrato,Mensal,Competência anterior (M-1),Financeiro,Bloqueante,"BNB, CEF, DOCAS, SESCOOP, TJ CE",COMPROVANTE_PG_FGTS,
FGT.EXTRATO,Extrato analítico do FGTS por trabalhador,FGTS,Profissional,Mensal,Competência anterior (M-1),DP,Bloqueante,"CEF, SESCOOP, TJ CE",EXTRATO_FGTS,
FGT.RELATORIO_DIGITAL,Relatórios do FGTS Digital (individualização),FGTS,Profissional,Mensal,Competência anterior (M-1),DP,Bloqueante,"CEF, SESCOOP",FGTS-DETALHE_DA_GUIA ; GFD_GUIA_DO_FGTS,
FGT.GUIA_RESCISORIA,Guia FGTS rescisória (GRRF),FGTS,Profissional,Rescisão,Data do evento,DP,Bloqueante,"CEF, TJ CE",GUIA_GFD,
FGT.COMPROVANTE_PG_GRRF,Comprovante de pagamento da GRRF,FGTS,Profissional,Rescisão,Data do evento,Financeiro,Bloqueante,"CEF, TJ CE",COMPROVANTE_PG_GRRF,
INS.DCTFWEB,DCTFWeb completa,INSS e tributos,Contrato,Mensal,Competência anterior (M-1),DP,Bloqueante,"BNB, CEF, SESCOOP",DCTFWEB_COMPLETA,
INS.DARF,DARF de recolhimento (DCTFWeb),INSS e tributos,Contrato,Mensal,Competência anterior (M-1),DP,Bloqueante,"DOCAS, SESCOOP, TJ CE",DCTFWEB_DARF,
INS.COMPROVANTE_PG,Comprovante de pagamento do INSS,INSS e tributos,Contrato,Mensal,Competência anterior (M-1),Financeiro,Bloqueante,"BNB, CEF, DOCAS, SESCOOP, TJ CE",COMPROVANTE_PG_INSS,
INS.COMPROVANTE_PG_IRRF,Comprovante de pagamento do IRRF,INSS e tributos,Contrato,Mensal,Competência anterior (M-1),Financeiro,Bloqueante,SESCOOP,COMPROVANTE_PG_IRRF,
INS.PARCELAMENTO_TABELA,Tabela resumo dos parcelamentos INSS,INSS e tributos,Contrato,Mensal,Competência anterior (M-1),Financeiro,Não bloqueante,CEF,TABELA_RESUMO_PARCELAMENTOS,
INS.PARCELAMENTO_COMPROV,DARF e comprovante dos parcelamentos INSS,INSS e tributos,Contrato,Mensal,Competência anterior (M-1),Financeiro,Bloqueante,CEF,COMPROVANTES_PARCELAMENTOS,
BEN.RELACAO_PLANO_SAUDE,Relação de beneficiários do plano de saúde,Benefícios,Profissional,Mensal,Mês da competência,DP,Bloqueante,"DOCAS, SESCOOP, TJ CE",RELACAO_PLANO_DE_SAÚDE ; RELAÇÃO_PLANO_DE_SAÚDE,
BEN.COMPROVANTE_PLANO_SAUDE,Comprovante de pagamento do plano de saúde,Benefícios,Contrato,Mensal,Mês da competência,Financeiro,Bloqueante,SESCOOP,COMPROVANTE_PG_PLANO_DE_SAUDE,
BEN.RELACAO_VA_VR,Relação de vale-alimentação/refeição,Benefícios,Profissional,Mensal,Mês da competência,DP,Bloqueante,"CEF, DOCAS, SESCOOP, TJ CE",RELACAO_DE_VA_VR ; RELAÇÃO_DE_VA_VR,
BEN.COMPROVANTE_VA_VR,Comprovante de pagamento do VA/VR,Benefícios,Contrato,Mensal,Mês da competência,Financeiro,Bloqueante,"CEF, SESCOOP",COMPROVANTE_PG_ALIMENTAÇÃO ; COMPROVANTE_PG_VA_VR,
BEN.RELACAO_VT,Relação de vale-transporte,Benefícios,Profissional,Mensal,Mês da competência,DP,Bloqueante,"CEF, SESCOOP",RELAÇÃO_DE_VT,
BEN.COMPROVANTE_VT,Comprovante de pagamento do VT,Benefícios,Contrato,Mensal,Mês da competência,Financeiro,Bloqueante,"CEF, SESCOOP",COMPROVANTE_PG_TRANSPORTE ; COMPROVANTE_PG_VT,
