COD_CANONICO,ESCOPO,SIGILO,FORMATOS,CONDICIONAL_GRUPO,CONFIRMADO
OPE.RELATORIO_MEDICAO,CONTRATO,PUBLICO_CLIENTE,pdf,,NAO
OPE.PLANILHA_MEDICAO,CONTRATO,PUBLICO_CLIENTE,pdf|xlsx,,NAO
OPE.AUTORIZACAO_FATURAMENTO,CONTRATO,PUBLICO_CLIENTE,pdf,,NAO
OPE.ATESTE_RECEBIMENTO,CONTRATO,PUBLICO_CLIENTE,pdf,,NAO
OPE.EMPENHO,CONTRATO,PUBLICO_CLIENTE,pdf,,NAO
OPE.RELACAO_ALOCADOS,CONTRATO,PUBLICO_CLIENTE,pdf,,NAO
OPE.DOC_TECNICA,CONTRATO,PUBLICO_CLIENTE,pdf,,NAO
OPE.FOLHA_PONTO,PROFISSIONAL,PESSOAL,pdf,,NAO
OPE.MOVIMENTACAO_PESSOAL,CONTRATO,PUBLICO_CLIENTE,pdf,,NAO
FIS.NOTA_FISCAL,CONTRATO,PUBLICO_CLIENTE,pdf,,NAO
FIS.NF_XML,CONTRATO,PUBLICO_CLIENTE,xml,,NAO
FIS.CARTA_ENTREGA_NF,CONTRATO,PUBLICO_CLIENTE,pdf,,NAO
CER.CND_RFB,CORPORATIVO,PUBLICO_CLIENTE,pdf,,NAO
CER.CRF_FGTS,CORPORATIVO,PUBLICO_CLIENTE,pdf,,NAO
CER.CNDT,CORPORATIVO,PUBLICO_CLIENTE,pdf,,NAO
CER.SICAF,CORPORATIVO,PUBLICO_CLIENTE,pdf,,NAO
CER.CND_ESTADUAL,CORPORATIVO,PUBLICO_CLIENTE,pdf,,NAO
CER.CND_CIVEL_CRIMINAL,CORPORATIVO,PUBLICO_CLIENTE,pdf,,NAO
CER.CND_FALENCIA,CORPORATIVO,PUBLICO_CLIENTE,pdf,,NAO
FOL.FOPAG,CONTRATO,PESSOAL,pdf,,NAO
FOL.COMPROVANTE_PG,CONTRATO,PESSOAL,pdf,,NAO
FOL.CONTRACHEQUE,PROFISSIONAL,PESSOAL,pdf,,NAO
DEC.FOPAG_13,CONTRATO,PESSOAL,pdf,,NAO
DEC.COMPROVANTE_PG_13,CONTRATO,PESSOAL,pdf,,NAO
FGT.GUIA,CORPORATIVO,INTERNO,pdf,,NAO
FGT.COMPROVANTE_PG,CORPORATIVO,INTERNO,pdf,,NAO
FGT.EXTRATO,PROFISSIONAL,PESSOAL,pdf,,NAO
FGT.RELATORIO_DIGITAL,PROFISSIONAL,PESSOAL,pdf,,NAO
FGT.GUIA_RESCISORIA,PROFISSIONAL,PESSOAL,pdf,,NAO
FGT.COMPROVANTE_PG_GRRF,PROFISSIONAL,PESSOAL,pdf,,NAO
INS.DCTFWEB,CORPORATIVO,INTERNO,pdf,,NAO
INS.DARF,CORPORATIVO,INTERNO,pdf,,NAO
INS.COMPROVANTE_PG,CORPORATIVO,INTERNO,pdf,,NAO
INS.COMPROVANTE_PG_IRRF,CORPORATIVO,INTERNO,pdf,,NAO
INS.PARCELAMENTO_TABELA,CORPORATIVO,INTERNO,pdf,,NAO
INS.PARCELAMENTO_COMPROV,CORPORATIVO,INTERNO,pdf,,NAO
BEN.RELACAO_PLANO_SAUDE,PROFISSIONAL,PESSOAL_SENSIVEL,pdf,,NAO
BEN.COMPROVANTE_PLANO_SAUDE,CONTRATO,PESSOAL_SENSIVEL,pdf,,NAO
BEN.RELACAO_VA_VR,PROFISSIONAL,PESSOAL,pdf,,NAO
BEN.COMPROVANTE_VA_VR,CONTRATO,INTERNO,pdf,,NAO
BEN.RELACAO_VT,PROFISSIONAL,PESSOAL,pdf,VT_ADESAO,NAO
BEN.COMPROVANTE_VT,CONTRATO,INTERNO,pdf,,NAO
BEN.TERMO_NAO_ADESAO_VT,PROFISSIONAL,PESSOAL,pdf,VT_ADESAO,NAO
FER.AVISO,PROFISSIONAL,PESSOAL,pdf,,NAO
FER.RECIBO,PROFISSIONAL,PESSOAL,pdf,,NAO
FER.COMPROVANTE_PG,PROFISSIONAL,PESSOAL,pdf,,NAO
RES.AVISO_PREVIO,PROFISSIONAL,PESSOAL,pdf,,NAO
RES.TRCT,PROFISSIONAL,PESSOAL,pdf,,NAO
RES.ASO_DEMISSIONAL,PROFISSIONAL,PESSOAL_SENSIVEL,pdf,,NAO
RES.COMPROVANTE_PG,PROFISSIONAL,PESSOAL,pdf,,NAO
ADM.DOCUMENTACAO,PROFISSIONAL,PESSOAL_SENSIVEL,pdf,,NAO
