CLIENTE_MATRIZ,NUMERO,SERVICO,MODALIDADE,CALENDARIO_UF,PASTA_ORIGEM,CONFIRMADO,OBSERVACAO
BNB,482023,OUT,OUTSOURCING,CE,/BNB - 482023,NAO,D-02: BNB desdobra em 2 contratos-serviço
BNB,482023,SUS,SUSTENTACAO,CE,/BNB - 482023,NAO,D-02: BNB desdobra em 2 contratos-serviço
CEF,09705.2025,OUT,OUTSOURCING,DF,/CAIXA - 09705.2025,NAO,D-02: CAIXA desdobra em 3; composição a confirmar em A04
CEF,09705.2025,SUS,SUSTENTACAO,DF,/CAIXA - 09705.2025,NAO,D-02: CAIXA desdobra em 3; composição a confirmar em A04
CEF,09705.2025,ENT,ENTREGA,DF,/CAIXA - 09705.2025,NAO,D-02: CAIXA desdobra em 3; composição a confirmar em A04
TJ CE,TJCE-01,OUT,OUTSOURCING,CE,/TJ CE,NAO,D-02: TJCE desdobra em 2 contratos-serviço
TJ CE,TJCE-01,SUS,SUSTENTACAO,CE,/TJ CE,NAO,D-02: TJCE desdobra em 2 contratos-serviço
DOCAS,DOCAS-01,PRINCIPAL,OUTSOURCING,CE,/DOCAS,NAO,Contrato único no diagnóstico
SEFAZ RS,SEFAZRS-01,PRINCIPAL,OUTSOURCING,RS,/SEFAZ RS,NAO,Contrato único no diagnóstico
SESCOOP,SESCOOP-01,PRINCIPAL,OUTSOURCING,DF,/SESCOOP,NAO,Contrato único no diagnóstico
Telebrás,TELEBRAS-01,PRINCIPAL,SUSTENTACAO,DF,/Telebras,NAO,Contrato único no diagnóstico
TERRACAP,TERRACAP-01,PRINCIPAL,OUTSOURCING,DF,/TERRACAP,NAO,Contrato único no diagnóstico
