ID,CONTRATO,COD_CANONICO,NOMENCLATURA_ORIGINAL,DIVERGENCIA,ACAO
L004,BNB,FIS.NOTA_FISCAL,NOTA _FISCAL,NOMENCLATURA com espaço/caractere irregular,
L012,BNB,FGT.GUIA,GFD_GUIA_DO_FGTS,"COMPETÊNCIA divergente: consta ""Mês da Competência"", esperado ""Competência Anterior""",
L015,BNB,INS.COMPROVANTE_PG,COMPROVANTE_PG_INSS,LINHA COMPOSTA: descreve mais de um artefato,
L022,CEF,FIS.NOTA_FISCAL,NOTA _FISCAL,NOMENCLATURA com espaço/caractere irregular,
L025,CEF,FGT.RELATORIO_DIGITAL,FGTS-DETALHE_DA_GUIA,PASTA incompatível com a família do documento,
L027,CEF,INS.PARCELAMENTO_COMPROV,COMPROVANTES_PARCELAMENTOS,LINHA COMPOSTA: descreve mais de um artefato,
L027,CEF,INS.PARCELAMENTO_COMPROV,COMPROVANTES_PARCELAMENTOS,PASTA incompatível com a família do documento,
L028,CEF,FER.AVISO,AVISO_DE_FERIAS,PERIODICIDADE em branco,
L029,CEF,FER.RECIBO,RECIBO_DE_FÉRIAS,PERIODICIDADE em branco,
L029,CEF,FER.RECIBO,RECIBO_DE_FÉRIAS,PREVISÃO/fundamento em branco,
L031,CEF,BEN.RELACAO_VT,RELAÇÃO_DE_VT,LINHA COMPOSTA: descreve mais de um artefato,
L032,CEF,BEN.TERMO_NAO_ADESAO_VT,TERMO_DE_ADESÃO_VT,PREVISÃO/fundamento em branco,
L032,CEF,BEN.TERMO_NAO_ADESAO_VT,TERMO_DE_ADESÃO_VT,"SEMÂNTICA INVERTIDA: código diz ""adesão"", documento é ""NÃO adesão""",
L033,CEF,BEN.COMPROVANTE_VT,COMPROVANTE_PG_VT,LINHA ÓRFÃ: sem contrato de origem,
L033,CEF,BEN.COMPROVANTE_VT,COMPROVANTE_PG_VT,COMPETÊNCIA em branco,
L033,CEF,BEN.COMPROVANTE_VT,COMPROVANTE_PG_VT,PERIODICIDADE em branco,
L033,CEF,BEN.COMPROVANTE_VT,COMPROVANTE_PG_VT,PREVISÃO/fundamento em branco,
L033,CEF,BEN.COMPROVANTE_VT,COMPROVANTE_PG_VT,DESCRIÇÃO do documento em branco,
L035,CEF,RES.ASO_DEMISSIONAL,ASO_DEMISSIONAL,PERIODICIDADE em branco,
L035,CEF,RES.ASO_DEMISSIONAL,ASO_DEMISSIONAL,PREVISÃO/fundamento em branco,
L036,CEF,RES.COMPROVANTE_PG,COMPROVANTE_PG_RESCISÃO,DUPLICIDADE no mesmo contrato/evento,
L036,CEF,RES.COMPROVANTE_PG,COMPROVANTE_PG_RESCISÃO,PERIODICIDADE em branco,
L036,CEF,RES.COMPROVANTE_PG,COMPROVANTE_PG_RESCISÃO,PREVISÃO/fundamento em branco,
L037,CEF,RES.AVISO_PREVIO,AVISO_PREVIO,PERIODICIDADE em branco,
L037,CEF,RES.AVISO_PREVIO,AVISO_PREVIO,PREVISÃO/fundamento em branco,
L038,CEF,FGT.EXTRATO,EXTRATO_FGTS,PERIODICIDADE em branco,
L038,CEF,FGT.EXTRATO,EXTRATO_FGTS,PREVISÃO/fundamento em branco,
L039,CEF,FGT.GUIA_RESCISORIA,GUIA_GFD,PERIODICIDADE em branco,
L039,CEF,FGT.GUIA_RESCISORIA,GUIA_GFD,PREVISÃO/fundamento em branco,
L040,CEF,FGT.COMPROVANTE_PG_GRRF,COMPROVANTE_PG_GRRF,PERIODICIDADE em branco,
L040,CEF,FGT.COMPROVANTE_PG_GRRF,COMPROVANTE_PG_GRRF,PREVISÃO/fundamento em branco,
