DATA,UF,DESCRICAO
2025-01-01,,Confraternização Universal
2025-03-03,,[FACULTATIVO] Carnaval (segunda-feira)
2025-03-04,,[FACULTATIVO] Carnaval (terça-feira)
2025-03-25,CE,Data Magna do Ceará
2025-04-18,,Sexta-Feira Santa
2025-04-21,,Tiradentes
2025-05-01,,Dia do Trabalho
2025-06-19,,[FACULTATIVO] Corpus Christi
2025-09-07,,Independência do Brasil
2025-09-20,RS,Revolução Farroupilha
2025-10-12,,Nossa Senhora Aparecida
2025-11-02,,Finados
2025-11-15,,Proclamação da República
2025-11-20,,Dia Nacional de Zumbi e da Consciência Negra
2025-12-25,,Natal
2026-01-01,,Confraternização Universal
2026-02-16,,[FACULTATIVO] Carnaval (segunda-feira)
2026-02-17,,[FACULTATIVO] Carnaval (terça-feira)
2026-03-25,CE,Data Magna do Ceará
2026-04-03,,Sexta-Feira Santa
2026-04-21,,Tiradentes
2026-05-01,,Dia do Trabalho
2026-06-04,,[FACULTATIVO] Corpus Christi
2026-09-07,,Independência do Brasil
2026-09-20,RS,Revolução Farroupilha
2026-10-12,,Nossa Senhora Aparecida
2026-11-02,,Finados
2026-11-15,,Proclamação da República
2026-11-20,,Dia Nacional de Zumbi e da Consciência Negra
2026-12-25,,Natal
2027-01-01,,Confraternização Universal
2027-02-08,,[FACULTATIVO] Carnaval (segunda-feira)
2027-02-09,,[FACULTATIVO] Carnaval (terça-feira)
2027-03-25,CE,Data Magna do Ceará
2027-03-26,,Sexta-Feira Santa
2027-04-21,,Tiradentes
2027-05-01,,Dia do Trabalho
2027-05-27,,[FACULTATIVO] Corpus Christi
2027-09-07,,Independência do Brasil
2027-09-20,RS,Revolução Farroupilha
2027-10-12,,Nossa Senhora Aparecida
2027-11-02,,Finados
2027-11-15,,Proclamação da República
2027-11-20,,Dia Nacional de Zumbi e da Consciência Negra
2027-12-25,,Natal
2028-01-01,,Confraternização Universal
2028-02-28,,[FACULTATIVO] Carnaval (segunda-feira)
2028-02-29,,[FACULTATIVO] Carnaval (terça-feira)
2028-03-25,CE,Data Magna do Ceará
2028-04-14,,Sexta-Feira Santa
2028-04-21,,Tiradentes
2028-05-01,,Dia do Trabalho
2028-06-15,,[FACULTATIVO] Corpus Christi
2028-09-07,,Independência do Brasil
2028-09-20,RS,Revolução Farroupilha
2028-10-12,,Nossa Senhora Aparecida
2028-11-02,,Finados
2028-11-15,,Proclamação da República
2028-11-20,,Dia Nacional de Zumbi e da Consciência Negra
2028-12-25,,Natal
2029-01-01,,Confraternização Universal
2029-02-12,,[FACULTATIVO] Carnaval (segunda-feira)
2029-02-13,,[FACULTATIVO] Carnaval (terça-feira)
2029-03-25,CE,Data Magna do Ceará
2029-03-30,,Sexta-Feira Santa
2029-04-21,,Tiradentes
2029-05-01,,Dia do Trabalho
2029-05-31,,[FACULTATIVO] Corpus Christi
2029-09-07,,Independência do Brasil
2029-09-20,RS,Revolução Farroupilha
2029-10-12,,Nossa Senhora Aparecida
2029-11-02,,Finados
2029-11-15,,Proclamação da República
2029-11-20,,Dia Nacional de Zumbi e da Consciência Negra
2029-12-25,,Natal
2030-01-01,,Confraternização Universal
2030-03-04,,[FACULTATIVO] Carnaval (segunda-feira)
2030-03-05,,[FACULTATIVO] Carnaval (terça-feira)
2030-03-25,CE,Data Magna do Ceará
2030-04-19,,Sexta-Feira Santa
2030-04-21,,Tiradentes
2030-05-01,,Dia do Trabalho
2030-06-20,,[FACULTATIVO] Corpus Christi
2030-09-07,,Independência do Brasil
2030-09-20,RS,Revolução Farroupilha
2030-10-12,,Nossa Senhora Aparecida
2030-11-02,,Finados
2030-11-15,,Proclamação da República
2030-11-20,,Dia Nacional de Zumbi e da Consciência Negra
2030-12-25,,Natal
2031-01-01,,Confraternização Universal
2031-02-24,,[FACULTATIVO] Carnaval (segunda-feira)
2031-02-25,,[FACULTATIVO] Carnaval (terça-feira)
2031-03-25,CE,Data Magna do Ceará
2031-04-11,,Sexta-Feira Santa
2031-04-21,,Tiradentes
2031-05-01,,Dia do Trabalho
2031-06-12,,[FACULTATIVO] Corpus Christi
2031-09-07,,Independência do Brasil
2031-09-20,RS,Revolução Farroupilha
2031-10-12,,Nossa Senhora Aparecida
2031-11-02,,Finados
2031-11-15,,Proclamação da República
2031-11-20,,Dia Nacional de Zumbi e da Consciência Negra
2031-12-25,,Natal
2032-01-01,,Confraternização Universal
2032-02-09,,[FACULTATIVO] Carnaval (segunda-feira)
2032-02-10,,[FACULTATIVO] Carnaval (terça-feira)
2032-03-25,CE,Data Magna do Ceará
2032-03-26,,Sexta-Feira Santa
2032-04-21,,Tiradentes
2032-05-01,,Dia do Trabalho
2032-05-27,,[FACULTATIVO] Corpus Christi
2032-09-07,,Independência do Brasil
2032-09-20,RS,Revolução Farroupilha
2032-10-12,,Nossa Senhora Aparecida
2032-11-02,,Finados
2032-11-15,,Proclamação da República
2032-11-20,,Dia Nacional de Zumbi e da Consciência Negra
2032-12-25,,Natal
